Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.7615330021291696,0.5475,0.5855614973262032,0.5658914728682171
KNN (K=1),0.7402413058907026,0.5740740740740741,0.08288770053475936,0.14485981308411214
